DOI,grantid__bmgf,publisher_simple,journal,journal_oa_type,published_date,oa_status,publisher_license_best,apc_cost,invoice_number,invoice_date,invoice_year
10.1016/j.envres.2023.116453,,elsevier,Environmental Research,transformative,2023-09-09,closed,cc-by,3550,1323170,2023-08-01,2023
10.1016/j.ab.2023.115263,,elsevier,Analytical Biochemistry,transformative,2023-09-08,,cc-by,3320,1325170,2023-09-08,2023
10.3389/fsufs.2023.1227920,,frontiers,Frontiers in Sustainable Food Systems,gold,2023-09-08,gold,cc-by,2080,2023-1008788-1,2023-09-08,2023
10.1128/spectrum.00374-23,,american society for microbiology,Microbiology Spectrum,closed,2023-09-06,,cc-by,2570,APC600438556,2023-08-01,2023
10.4269/ajtmh.23-0074,,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-09-06,,cc-by,3000,TROP64300,2023-07-19,2023
10.4269/ajtmh.23-0102,,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-09-06,green,cc-by,3000,TROP64690,2023-08-17,2023
10.3389/fpls.2023.1250205,,frontiers,Frontiers in Plant Science,gold,2023-09-06,gold,cc-by,3230,2023-1008788-1,2023-09-08,2023
10.1021/acs.oprd.3c00187,,american chemical society,Organic Process Research &amp; Development,closed,2023-09-05,,cc-by,4750,APC600446081,2023-08-25,2023
10.1016/j.fcr.2023.109063,,elsevier,Field Crops Research,transformative,2023-09-05,hybrid,cc-by,3970,1325170,2023-09-08,2023
10.3389/fpara.2023.1235925,,frontiers,Frontiers in Parasitology,gold,2023-09-05,gold,cc-by,2080,2023-1008788-1,2023-09-08,2023
10.1038/s41467-023-40958-8,,springer/nature/bmc,Nature Communications,gold,2023-09-04,gold,cc-by,6490,1452503116,2023-09-08,2023
10.3389/fnut.2023.1205620,,frontiers,Frontiers in Nutrition,gold,2023-09-04,gold,cc-by,3230,2023-1008788-1,2023-09-08,2023
10.3389/fnut.2023.1223753,,frontiers,Frontiers in Nutrition,gold,2023-09-04,gold,cc-by,3230,2023-1008788-1,2023-09-08,2023
10.1016/j.omtm.2023.06.004,,elsevier,Molecular Therapy - Methods &amp; Clinical Development,gold,2023-09-01,gold,cc-by,3900,1315170,2023-07-07,2023
10.1136/bmjgh-2023-012855,,,,closed,2023-09-01,,,4330,APC600439447,2023-08-01,2023
10.1016/j.ijregi.2023.06.006,,elsevier,IJID Regions,gold,2023-09-01,gold,cc-by,1200,1323170,2023-08-01,2023
10.1016/j.gfs.2023.100707,,elsevier,Global Food Security,transformative,2023-09-01,hybrid,cc-by,3760,1323170,2023-08-01,2023
10.1016/j.gfs.2023.100708,,elsevier,Global Food Security,transformative,2023-09-01,hybrid,cc-by,3760,1323170,2023-08-01,2023
10.1016/j.ssmph.2023.101473,,elsevier,SSM - Population Health,gold,2023-09-01,gold,cc-by,2630,1323170,2023-08-01,2023
10.1136/bmjopen-2022-068498,,bmj,BMJ Open,closed,2023-09-01,,cc-by,2800,APC600444044,2023-08-17,2023
10.1016/j.ecoenv.2023.115126,,elsevier,Ecotoxicology and Environmental Safety,gold,2023-09-01,,cc-by,2700,1325170,2023-09-08,2023
10.1016/j.xpro.2023.102476,,elsevier,STAR Protocols,gold,2023-09-01,closed,cc-by,1500,1325170,2023-09-08,2023
10.1016/j.ssmph.2023.101482,,elsevier,SSM - Population Health,gold,2023-09-01,,cc-by-nc-nd,2630,1325170,2023-09-08,2023
10.1016/j.heliyon.2023.e19094,,elsevier,Heliyon,gold,2023-09-01,gold,cc-by-nc-nd,2100,1325170,2023-09-08,2023
10.1016/j.ebiom.2023.104772,,elsevier,eBioMedicine,gold,2023-09-01,closed,,5000,1325170,2023-09-08,2023
10.1136/bmjgh-2023-013703,,,,closed,2023-09-01,,,4330,APC600452884,2023-09-18,2023
10.7189/jogh.13.03045,,international society of global health,Journal of Global Health,gold,2023-08-31,closed,cc-by,1640,939,2023-07-26,2023
10.1016/j.ejps.2023.106553,,elsevier,European Journal of Pharmaceutical Sciences,gold,2023-08-31,gold,cc-by,2300,1325170,2023-09-08,2023
10.12944/crnfsj.11.2.04,,enviro research publishers,Current Research in Nutrition and Food Science Journal,closed,2023-08-31,,,350,1679,2023-08-25,2023
10.1038/s41598-023-40756-8,,springer/nature/bmc,Scientific Reports,gold,2023-08-29,gold,cc-by,2250,2939179604,2023-09-04,2023
10.1186/s12879-023-08452-0,,springer/nature/bmc,BMC Infectious Diseases,gold,2023-08-29,gold,cc-by,2740,2936186178,2023-09-08,2023
10.3389/fgene.2023.1242048,,frontiers,Frontiers in Genetics,gold,2023-08-29,gold,cc-by,3230,2023-1008788-1,2023-09-08,2023
10.1002/tpg2.20375,,wiley,The Plant Genome,gold,2023-08-28,gold,cc-by,2450,7389106,2023-09-08,2023
10.1016/j.worlddev.2023.106367,,elsevier,World Development,transformative,2023-08-26,hybrid,cc-by,4020,1325170,2023-09-08,2023
10.1016/j.scitotenv.2023.165235,,elsevier,Science of The Total Environment,transformative,2023-08-25,closed,cc-by-nc,3790,1323170,2023-08-01,2023
10.7189/jogh.13.04080,,international society of global health,Journal of Global Health,gold,2023-08-25,gold,cc-by,3280,941,2023-06-26,2023
10.1186/s12913-023-09813-w,,springer/nature/bmc,BMC Health Services Research,closed,2023-08-23,,cc-by,3070,1452482215,2023-08-17,2023
10.1371/journal.pgph.0002134,,plos,PLOS Global Public Health,gold,2023-08-23,gold,cc-by,2100,PAB 361805.00,2023-09-08,2023
10.1017/s1368980023001805,,cambridge university press (cup),Public Health Nutrition,gold,2023-08-22,gold,cc-by,2960,APC600445712,2023-08-25,2023
10.1186/s12910-023-00940-x,,springer/nature/bmc,BMC Medical Ethics,gold,2023-08-21,gold,cc-by,2040,2939181044,2023-09-04,2023
10.3389/fagro.2023.1220387,,frontiers,Frontiers in Agronomy,gold,2023-08-21,gold,cc-by,2080,2023-1008788-1,2023-09-08,2023
10.7189/jogh.13.04062,OPP1114815,international society of global health,Journal of Global Health,gold,2023-08-18,closed,cc-by,3280,896,2023-04-21,2023
10.3389/ffgc.2023.1205744,,frontiers,Frontiers in Forests and Global Change,closed,2023-08-17,,cc-by,2080,2023-0990014-1,2023-08-11,2023
10.7189/jogh.13.04086,,international society of global health,Journal of Global Health,gold,2023-08-17,closed,cc-by,3280,958,2023-07-07,2023
10.1016/j.scitotenv.2023.166067,,elsevier,Science of The Total Environment,transformative,2023-08-17,hybrid,cc-by,3790,1325170,2023-09-08,2023
10.1002/psp4.13013,,wiley,CPT: Pharmacometrics &amp; Systems Pharmacology,closed,2023-08-16,,,3750,7389106,2023-09-08,2023
10.1016/j.jdeveco.2023.103083,,elsevier,Journal of Development Economics,transformative,2023-08-15,closed,cc-by,3660,1300171,2023-06-22,2023
10.1016/j.jdeveco.2023.103114,,elsevier,Journal of Development Economics,transformative,2023-08-15,hybrid,cc-by,3660,1310171,2023-06-22,2023
10.1016/s2214-109x(23)00239-5,,elsevier,The Lancet Global Health,gold,2023-08-15,hybrid,cc-by,5500,1325170,2023-09-08,2023
10.1371/journal.pdig.0000322,,plos,PLOS Digital Health,gold,2023-08-15,,,2580,PAB 361805.00,2023-09-08,2023
10.1371/journal.pgph.0002044,,plos,PLOS Global Public Health,gold,2023-08-15,gold,cc-by,2100,PAB 361805.00,2023-09-08,2023
10.12688/gatesopenres.14396.2,INV-009553,f1000 research ltd,Gates Open Research,gold,2023-08-14,,cc-by,1150,6686128125,2023-04-09,2023
10.1172/jci169676,,american society for clinical investigation,Journal of Clinical Investigation,gold,2023-08-14,gold,cc-by,5300,121385,2023-07-26,2023
10.1172/jci166814,,american society for clinical investigation,Journal of Clinical Investigation,gold,2023-08-14,,cc-by,5300,121381,2023-08-04,2023
10.1016/j.landusepol.2023.106834,,elsevier,Land Use Policy,transformative,2023-08-11,hybrid,cc-by,3200,1323170,2023-08-01,2023
10.1186/s12961-023-01014-5,INV-001304,springer/nature/bmc,Health Research Policy and Systems,closed,2023-08-10,,cc-by,3170,1452476385,2023-07-19,2023
10.1038/s41564-023-01447-2,,springer/nature/bmc,Nature Microbiology,transformative,2023-08-10,,cc-by,11690,1452490844,2023-09-04,2023
10.1038/s41430-023-01321-8,OPP1143641,springer/nature/bmc,European Journal of Clinical Nutrition,transformative,2023-08-10,,cc-by,4770,1452517985,2023-09-22,2023
10.1038/s41467-023-40220-1,,springer/nature/bmc,Nature Communications,gold,2023-08-09,,cc-by,6490,1452496421,2023-08-17,2023
10.3389/fgene.2023.1220906,,frontiers,Frontiers in Genetics,gold,2023-08-09,,cc-by,3230,2023-0990014-1,2023-08-11,2023
10.3389/fnins.2023.1214958,,frontiers,Frontiers in Neuroscience,gold,2023-08-09,,cc-by,3230,2023-0990014-1,2023-08-11,2023
10.1016/j.fcr.2023.109078,,elsevier,Field Crops Research,transformative,2023-08-09,hybrid,cc-by,3970,1325170,2023-09-08,2023
10.1371/journal.pgph.0001328,,plos,PLOS Global Public Health,gold,2023-08-09,,,2100,PAB 361805.00,2023-09-08,2023
10.1186/s12879-023-08460-0,,springer/nature/bmc,BMC Infectious Diseases,gold,2023-08-08,,cc-by,2740,2939123982,2023-08-01,2023
10.12688/gatesopenres.13909.2,INV-007530,f1000 research ltd,Gates Open Research,gold,2023-08-07,,cc-by,1150,6686127199,2022-10-06,2022
10.1016/j.onehlt.2023.100590,,elsevier,One Health,gold,2023-08-07,hybrid,cc-by,1160,1315170,2023-07-07,2023
10.1016/j.onehlt.2023.100586,,elsevier,One Health,gold,2023-08-07,hybrid,cc-by,2310,1323170,2023-08-01,2023
10.1016/j.onehlt.2023.100594,,elsevier,One Health,gold,2023-08-07,gold,cc-by,1050,1323170,2023-08-01,2023
10.1016/j.onehlt.2023.100591,,elsevier,One Health,gold,2023-08-07,hybrid,cc-by,2100,1323170,2023-08-01,2023
10.1371/journal.pone.0289582,,plos,PLOS ONE,gold,2023-08-07,,,1750,PAB 361805.00,2023-09-08,2023
10.1016/j.ijid.2023.05.016,OPP1189378,elsevier,International Journal of Infectious Diseases,gold,2023-08-05,gold,cc-by,2500,1310171,2023-06-22,2023
10.1016/j.atech.2023.100291,,elsevier,Smart Agricultural Technology,gold,2023-08-05,gold,cc-by,900,1323170,2023-08-01,2023
10.1186/s12981-023-00549-5,,springer/nature/bmc,AIDS Research and Therapy,gold,2023-08-04,,cc-by,2870,1452484363,2023-08-17,2023
10.1186/s12884-023-05807-y,,springer/nature/bmc,BMC Pregnancy and Childbirth,closed,2023-08-03,,cc-by,2970,1452486880,2023-08-04,2023
10.3389/fimmu.2023.1231276,,frontiers,Frontiers in Immunology,gold,2023-08-03,,cc-by,3230,2023-0990014-1,2023-08-11,2023
10.3389/fsufs.2023.1227430,,frontiers,Frontiers in Sustainable Food Systems,gold,2023-08-03,,cc-by,2080,2023-0990014-1,2023-08-11,2023
10.4269/ajtmh.22-0599,INV-010638,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-08-02,hybrid,cc-by,4000,TROP63930,2023-05-21,2023
10.4269/ajtmh.22-0584,OPP1131125,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-08-02,hybrid,cc-by,2500,TROP63830,2023-05-21,2023
10.1017/s1368980023001593,,cambridge university press (cup),Public Health Nutrition,closed,2023-08-02,,cc-by,2880,APC600439481,2023-08-01,2023
10.3389/frhs.2023.1233923,,frontiers,Frontiers in Health Services,gold,2023-08-02,gold,cc-by,2080,2023-0990014-1,2023-08-11,2023
10.1016/j.jvacx.2023.100296,,elsevier,Vaccine: X,gold,2023-08-01,green,cc-by,1800,1300171,2023-06-22,2023
10.1016/j.jvacx.2023.100281,INV-003813,elsevier,Vaccine: X,gold,2023-08-01,green,cc-by,1800,1292170,2023-06-22,2023
10.1016/j.lanwpc.2023.100789,,elsevier,The Lancet Regional Health - Western Pacific,gold,2023-08-01,gold,cc-by,3680,1310171,2023-06-22,2023
10.1016/j.jvacx.2023.100319,INV-005893,elsevier,Vaccine: X,gold,2023-08-01,gold,cc-by,2000,1310171,2023-06-22,2023
10.1016/j.jvacx.2023.100328,INV-030655,elsevier,Vaccine: X,gold,2023-08-01,gold,cc-by,1900,1315170,2023-07-07,2023
10.1016/j.xagr.2023.100244,,elsevier,AJOG Global Reports,gold,2023-08-01,hybrid,cc-by,1000,1315170,2023-07-07,2023
10.1016/s2666-5247(23)00112-x,,elsevier,The Lancet Microbe,gold,2023-08-01,closed,cc-by,6300,1315170,2023-07-07,2023
10.1136/bmjgh-2023-012433,,bmj,BMJ Global Health,closed,2023-08-01,,cc-by,4330,APC600434301,2023-07-19,2023
10.1136/bmjhci-2022-100691,,,,closed,2023-08-01,,,800,APC600438096,2023-08-01,2023
10.1136/bmjopen-2022-064678,,bmj,BMJ Open,closed,2023-08-01,,cc-by,2800,APC600438553,2023-08-01,2023
10.1016/j.envint.2023.108059,,elsevier,Environment International,gold,2023-08-01,gold,cc-by,3790,1323170,2023-08-01,2023
10.1016/s2214-109x(23)00245-0,,elsevier,The Lancet Global Health,gold,2023-08-01,gold,cc-by,5780,1323170,2023-08-01,2023
10.1016/j.socscimed.2023.116073,,elsevier,Social Science &amp; Medicine,transformative,2023-08-01,closed,cc-by,3360,1323170,2023-08-01,2023
10.1016/j.cdnut.2023.101969,,elsevier,Current Developments in Nutrition,gold,2023-08-01,gold,cc-by,4000,1323170,2023-08-01,2023
10.1016/j.isci.2023.107294,,elsevier,iScience,gold,2023-08-01,gold,cc-by,3150,1323170,2023-08-01,2023
10.1016/j.jvacx.2023.100341,,elsevier,Vaccine: X,gold,2023-08-01,gold,cc-by,1800,1323170,2023-08-01,2023
10.1016/j.xcrm.2023.101127,,elsevier,Cell Reports Medicine,gold,2023-08-01,gold,cc-by,5200,1323170,2023-08-01,2023
10.1016/j.vaccine.2023.07.018,,elsevier,Vaccine,transformative,2023-08-01,hybrid,cc-by,3350,1323170,2023-08-01,2023
10.1016/j.vaccine.2023.07.003,,elsevier,Vaccine,transformative,2023-08-01,hybrid,cc-by,3350,1323170,2023-08-01,2023
10.1016/j.immuni.2023.06.019,,elsevier,Immunity,transformative,2023-08-01,hybrid,cc-by-nc-nd,8900,1323170,2023-08-01,2023
10.1016/j.heliyon.2023.e18302,,elsevier,Heliyon,gold,2023-08-01,gold,cc-by,2100,1323170,2023-08-01,2023
10.1016/j.isci.2023.107422,,elsevier,iScience,gold,2023-08-01,gold,cc-by,3150,1323170,2023-08-01,2023
10.1136/bmjgh-2023-012921,,bmj,BMJ Global Health,closed,2023-08-01,,cc-by,3240,APC600442653,2023-08-11,2023
10.1016/j.vaccine.2023.07.033,,elsevier,Vaccine,transformative,2023-08-01,hybrid,cc-by,3350,1325170,2023-09-08,2023
10.1016/s2468-2667(23)00122-6,,elsevier,The Lancet Public Health,gold,2023-08-01,gold,cc-by,5780,1325170,2023-09-08,2023
10.1016/j.celrep.2023.112875,,elsevier,Cell Reports,gold,2023-08-01,gold,cc-by,5200,1325170,2023-09-08,2023
10.1016/j.lwt.2023.115171,,elsevier,LWT,gold,2023-08-01,,cc-by,2250,1325170,2023-09-08,2023
10.1016/s2468-2667(23)00123-8,,elsevier,The Lancet Public Health,gold,2023-08-01,closed,,5500,1325170,2023-09-08,2023
10.1016/j.cdnut.2023.101988,,elsevier,Current Developments in Nutrition,gold,2023-08-01,gold,cc-by,4000,1325170,2023-09-08,2023
10.1016/j.cdnut.2023.101987,,elsevier,Current Developments in Nutrition,gold,2023-08-01,gold,cc-by,4000,1325170,2023-09-08,2023
10.1016/j.jadohealth.2023.06.016,,elsevier,Journal of Adolescent Health,transformative,2023-08-01,hybrid,cc-by,3270,1325170,2023-09-08,2023
10.1016/j.vaccine.2023.08.041,,elsevier,Vaccine,transformative,2023-08-01,hybrid,cc-by,3350,1325170,2023-09-08,2023
10.1186/s12889-023-16383-3,,springer/nature/bmc,BMC Public Health,gold,2023-07-31,gold,cc-by,3170,1452488282,2023-08-17,2023
10.1016/s2214-109x(23)00220-6,,elsevier,The Lancet Global Health,gold,2023-07-30,closed,cc-by,5500,1323170,2023-08-01,2023
10.1016/j.appet.2023.106620,,elsevier,Appetite,transformative,2023-07-29,hybrid,cc-by,3830,1315170,2023-07-07,2023
10.1186/s12884-023-05865-2,,springer/nature/bmc,BMC Pregnancy and Childbirth,gold,2023-07-29,gold,cc-by,2970,1452485779,2023-08-17,2023
10.1128/mbio.01179-23,OPP1169264,american society for microbiology,mBio,closed,2023-07-28,,cc-by,4270,APC600429612,2023-06-30,2023
10.1038/s41467-023-40151-x,,springer/nature/bmc,Nature Communications,gold,2023-07-28,gold,cc-by,6290,1452483363,2023-08-17,2023
10.1038/s41467-023-40234-9,,springer/nature/bmc,Nature Communications,gold,2023-07-28,gold,cc-by,6290,1452486882,2023-08-17,2023
10.3389/fgwh.2023.1161157,,frontiers,Frontiers in Global Women's Health,gold,2023-07-28,gold,cc-by,2080,2023-0990014-1,2023-08-11,2023
10.1016/j.ijpddr.2023.03.003,OPP1024021,elsevier,International Journal for Parasitology: Drugs and Drug Resistance,gold,2023-07-27,green,cc-by,2400,1292170,2023-06-22,2023
10.3389/fnut.2023.1191962,,frontiers,Frontiers in Nutrition,gold,2023-07-27,,cc-by,3230,2023-0990014-1,2023-08-11,2023
10.1371/journal.pntd.0011396,,plos,PLOS Neglected Tropical Diseases,gold,2023-07-27,,,2500,PAB 361805.00,2023-09-08,2023
10.1016/j.socscimed.2023.116071,,elsevier,Social Science &amp; Medicine,transformative,2023-07-26,closed,cc-by,3360,1323170,2023-08-01,2023
10.3389/fpls.2023.1218151,,frontiers,Frontiers in Plant Science,gold,2023-07-25,gold,cc-by,3230,2023-0990014-1,2023-08-11,2023
10.1371/journal.pone.0288717,,plos,PLOS ONE,gold,2023-07-25,,,1810,PAB 361805.00,2023-09-08,2023
10.7554/elife.85735,,"elife sciences publications, ltd",eLife,gold,2023-07-24,,cc-by,3000,P011194,2023-08-04,2023
10.3389/fgene.2023.1209275,,frontiers,Frontiers in Genetics,gold,2023-07-24,gold,cc-by,3230,2023-0990014-1,2023-08-11,2023
10.3389/fmicb.2023.1208131,,frontiers,Frontiers in Microbiology,gold,2023-07-24,gold,cc-by,3230,2023-0990014-1,2023-08-11,2023
10.1371/journal.pmed.1004236,,plos,PLOS Medicine,gold,2023-07-24,gold,cc-by,5300,PAB 361803.00,2023-09-08,2023
10.1371/journal.pmed.1004242,,plos,PLOS Medicine,gold,2023-07-24,gold,cc-by,6300,PAB 361804.00,2023-09-08,2023
10.1371/journal.pone.0288974,,plos,PLOS ONE,gold,2023-07-24,,,1930,PAB 361805.00,2023-09-08,2023
10.1016/j.foodpol.2023.102506,,elsevier,Food Policy,transformative,2023-07-22,hybrid,cc-by,3270,1323170,2023-08-01,2023
10.1186/s13063-023-07477-9,OPP1202634,springer/nature/bmc,Trials,gold,2023-07-21,gold,cc-by,2470,1452474287,2023-07-12,2023
10.1002/tpg2.20362,,wiley,The Plant Genome,gold,2023-07-21,gold,cc-by,2450,7016340,2023-08-04,2023
10.1371/journal.pone.0288741,,plos,PLOS ONE,gold,2023-07-21,gold,cc-by,1810,PAB 361805.00,2023-09-08,2023
10.1186/s13104-023-06422-y,,springer/nature/bmc,BMC Research Notes,gold,2023-07-20,gold,cc-by,1770,1452476894,2023-07-19,2023
10.12688/gatesopenres.14771.1,,f1000 research ltd,Gates Open Research,gold,2023-07-20,gold,cc-by,1180,,2023-08-17,2023
10.7554/elife.88588,,,,gold,2023-07-19,green,,2000,RP000362,2023-05-01,2023
10.3389/fanim.2023.1194974,,frontiers,Frontiers in Animal Science,gold,2023-07-19,gold,cc-by,1260,2023-0971129-1,2023-07-07,2023
10.1371/journal.pone.0287814,,plos,PLOS ONE,gold,2023-07-19,gold,cc-by,1810,PAB 360188.00,2023-08-04,2023
10.1186/s12864-023-09474-3,,springer/nature/bmc,BMC Genomics,gold,2023-07-19,gold,cc-by,2770,1452474273,2023-08-17,2023
10.1371/journal.pone.0288746,,plos,PLOS ONE,gold,2023-07-19,gold,cc-by,1810,PAB 361805.00,2023-09-08,2023
10.1371/journal.pgph.0001800,,plos,PLOS Global Public Health,gold,2023-07-18,gold,cc-by,2100,PAB 360188.00,2023-08-04,2023
10.1186/s12963-023-00307-9,,springer/nature/bmc,Population Health Metrics,gold,2023-07-18,gold,cc-by,2670,1452479049,2023-08-17,2023
10.1371/journal.pone.0288651,,plos,PLOS ONE,gold,2023-07-18,gold,cc-by,1810,PAB 361805.00,2023-09-08,2023
10.3389/fphar.2023.1200848,INV-006317,frontiers,Frontiers in Pharmacology,gold,2023-07-17,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.1016/j.jmb.2023.168187,,elsevier,Journal of Molecular Biology,transformative,2023-07-17,bronze,cc-by,3970,1323170,2023-08-01,2023
10.1186/s13104-023-06425-9,,springer/nature/bmc,BMC Research Notes,gold,2023-07-17,gold,cc-by,1770,1452478294,2023-08-17,2023
10.7189/jogh.13.04055,OPP1114815,international society of global health,Journal of Global Health,gold,2023-07-14,gold,cc-by,3280,897,2023-04-21,2023
10.7189/jogh.13.04056,OPP1114815,international society of global health,Journal of Global Health,gold,2023-07-14,gold,cc-by,3280,898,2023-04-21,2023
10.3389/fenvs.2023.1109306,OPP1157500,frontiers,Frontiers in Environmental Science,gold,2023-07-14,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.1371/journal.pgph.0002157,,plos,PLOS Global Public Health,gold,2023-07-14,gold,public-domain,2100,PAB 361805.00,2023-09-08,2023
10.1038/s41541-023-00696-w,INV-002916;OPP1115782,springer/nature/bmc,npj Vaccines,gold,2023-07-13,gold,cc-by,3570,1452474810,2023-07-12,2023
10.3389/fpubh.2023.1202996,INV-018302,frontiers,Frontiers in Public Health,gold,2023-07-13,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.1371/journal.pgph.0002165,,plos,PLOS Global Public Health,gold,2023-07-13,gold,cc-by,2100,PAB 360188.00,2023-08-04,2023
10.1111/mcn.13547,,wiley,Maternal &amp; Child Nutrition,gold,2023-07-13,gold,cc-by,3400,7016340,2023-08-04,2023
10.1186/s40359-023-01230-2,,springer/nature/bmc,BMC Psychology,gold,2023-07-13,gold,cc-by,1770,1452473508,2023-08-17,2023
10.1016/j.conctc.2023.101100,,elsevier,Contemporary Clinical Trials Communications,gold,2023-07-12,hybrid,cc-by,1950,1315170,2023-07-07,2023
10.1021/acs.oprd.3c00148,INV-007954,american chemical society,Organic Process Research &amp; Development,transformative,2023-07-12,hybrid,cc-by,3000,APC600430742,2023-07-07,2023
10.1371/journal.pone.0287962,,plos,PLOS ONE,gold,2023-07-12,gold,cc-by,1810,PAB 361805.00,2023-09-08,2023
10.3389/fsufs.2023.1213085,,frontiers,Frontiers in Sustainable Food Systems,gold,2023-07-11,gold,cc-by,2080,2023-0971129-1,2023-07-07,2023
10.3389/fnut.2023.1235113,,frontiers,Frontiers in Nutrition,gold,2023-07-11,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.1371/journal.pmed.1004252,,plos,PLOS Medicine,gold,2023-07-11,gold,cc-by,5300,PAB 360187.00,2023-08-04,2023
10.3389/fpubh.2023.1160088,INV-002992,frontiers,Frontiers in Public Health,closed,2023-07-10,,cc-by,3230,2023-0930188-1,2023-05-05,2023
10.29392/001c.81640,INV-009466,inishmore laser scientific publishing ltd,Journal of Global Health Reports,gold,2023-07-10,gold,cc-by,1350,23-042,2023-06-26,2023
10.3389/fnut.2023.1151670,,frontiers,Frontiers in Nutrition,gold,2023-07-10,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.1038/s41598-023-37947-8,OPP1152504,springer/nature/bmc,Scientific Reports,gold,2023-07-08,gold,cc-by,2470,1452473971,2023-07-12,2023
10.3389/fanim.2023.1203449,OPP1175487,frontiers,Frontiers in Animal Science,gold,2023-07-07,gold,cc-by,1260,2023-0971129-1,2023-07-07,2023
10.18697/ajfand.121.22395,OPP1198373,"african journal of food, agriculture, nutrition and development","African Journal of Food, Agriculture, Nutrition and Development",gold,2023-07-06,gold,cc-by-nc-nd,300,22395,2023-04-14,2023
10.1038/s41467-023-39662-4,INV-019032,springer/nature/bmc,Nature Communications,gold,2023-07-06,gold,cc-by,6290,1452471970,2023-07-07,2023
10.1021/acssensors.3c00967,OPP1144,american chemical society,ACS Sensors,transformative,2023-07-06,hybrid,cc-by,3000,APC600430742,2023-07-07,2023
10.1021/acs.est.3c01317,INV-044865,american chemical society,Environmental Science &amp; Technology,transformative,2023-07-06,hybrid,cc-by,3000,APC600430742,2023-07-07,2023
10.3389/fpubh.2023.1194499,,frontiers,Frontiers in Public Health,gold,2023-07-06,gold,cc-by,490,2023-0971129-1,2023-07-07,2023
10.1371/journal.pdig.0000291,,plos,PLOS Digital Health,gold,2023-07-06,gold,cc-by,2580,PAB 360188.00,2023-08-04,2023
10.1002/tpg2.20365,,wiley,The Plant Genome,gold,2023-07-06,gold,cc-by,2450,7016340,2023-08-04,2023
